pair,label,timeframe,timestamp,price,direction,confidence,stop_loss,take_profit,risk_reward_ratio,alerted,log_time
ETHUSD,ETH/USD,15m,2026-09-03T07:15:00,2411.69,BUY,75,2400.714504682334,2440.957987513776,2.666666666666625,False,2026-09-03T07:15:21.793068
XBTUSD,BTC/USD,15m,2026-09-03T07:15:00,78011.0,BUY,75,77731.90497668662,78755.25339550234,2.6666666666666665,False,2026-09-03T07:15:22.283691
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T07:15:00,4426.37,HOLD,0,,,,False,2026-09-03T07:15:22.865160
ETHUSD,ETH/USD,15m,2026-09-03T07:30:00,2405.12,BUY,50,2393.9921174154874,2434.794353558699,2.6666666666666123,False,2026-09-03T07:30:26.077436
XBTUSD,BTC/USD,15m,2026-09-03T07:30:00,77865.2,BUY,75,77582.86842858544,78618.08419043882,2.666666666666684,False,2026-09-03T07:30:26.591710
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T07:30:00,4431.21,HOLD,25,,,,False,2026-09-03T07:30:27.040254
ETHUSD,ETH/USD,15m,2026-09-03T07:45:00,2407.77,BUY,75,2396.5926037215822,2437.576390075781,2.6666666666667074,False,2026-09-03T07:45:26.607780
XBTUSD,BTC/USD,15m,2026-09-03T07:45:00,77891.2,BUY,75,77611.82472972329,78636.20072073788,2.666666666666632,False,2026-09-03T07:45:27.193522
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T07:45:00,4430.93,HOLD,25,,,,False,2026-09-03T07:45:27.757359
ETHUSD,ETH/USD,15m,2026-09-03T08:00:00,2398.6,HOLD,0,,,,False,2026-09-03T08:00:27.021524
XBTUSD,BTC/USD,15m,2026-09-03T08:00:00,77677.4,HOLD,0,,,,False,2026-09-03T08:00:27.555864
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T08:00:00,4433.7,HOLD,25,,,,False,2026-09-03T08:00:28.077892
ETHUSD,ETH/USD,15m,2026-09-03T08:15:00,2404.07,HOLD,0,,,,False,2026-09-03T08:15:21.171061
XBTUSD,BTC/USD,15m,2026-09-03T08:15:00,77893.8,BUY,75,77586.09276182952,78714.35263512128,2.6666666666666665,False,2026-09-03T08:15:21.690996
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T08:15:00,4439.61,HOLD,25,,,,False,2026-09-03T08:15:22.196103
ETHUSD,ETH/USD,15m,2026-09-03T08:30:00,2407.67,HOLD,25,,,,False,2026-09-03T08:30:24.357743
XBTUSD,BTC/USD,15m,2026-09-03T08:30:00,77947.5,BUY,75,77644.23866215917,78756.19690090886,2.6666666666666345,False,2026-09-03T08:30:24.676944
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T08:30:00,4441.29,HOLD,25,,,,False,2026-09-03T08:30:24.986691
ETHUSD,ETH/USD,15m,2026-09-03T08:45:00,2405.71,HOLD,0,,,,False,2026-09-03T08:45:24.745512
XBTUSD,BTC/USD,15m,2026-09-03T08:45:00,77864.9,HOLD,25,,,,False,2026-09-03T08:45:25.265655
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T08:45:00,4436.28,HOLD,25,,,,False,2026-09-03T08:45:25.708021
ETHUSD,ETH/USD,15m,2026-09-03T09:00:00,2401.95,HOLD,0,,,,False,2026-09-03T09:00:26.519535
XBTUSD,BTC/USD,15m,2026-09-03T09:00:00,77794.0,HOLD,0,,,,False,2026-09-03T09:00:26.867665
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T09:00:00,4441.43,HOLD,25,,,,False,2026-09-03T09:00:27.346417
ETHUSD,ETH/USD,15m,2026-09-03T09:15:00,2403.14,HOLD,0,,,,False,2026-09-03T09:15:21.641534
XBTUSD,BTC/USD,15m,2026-09-03T09:15:00,77821.9,HOLD,0,,,,False,2026-09-03T09:15:21.972558
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T09:15:00,4443.14,BUY,75,4434.7773260337235,4465.440463910071,2.666666666666594,False,2026-09-03T09:15:22.353901
ETHUSD,ETH/USD,15m,2026-09-03T09:30:00,2398.25,HOLD,0,,,,False,2026-09-03T09:30:29.066896
XBTUSD,BTC/USD,15m,2026-09-03T09:30:00,77709.9,HOLD,0,,,,False,2026-09-03T09:30:29.657540
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T09:30:00,4438.66,HOLD,25,,,,False,2026-09-03T09:30:30.171840
ETHUSD,ETH/USD,15m,2026-09-03T09:30:00,2396.35,HOLD,0,,,,False,2026-09-03T09:36:11.749772
XBTUSD,BTC/USD,15m,2026-09-03T09:30:00,77709.4,HOLD,0,,,,False,2026-09-03T09:36:12.143713
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T09:30:00,4440.74,HOLD,25,,,,False,2026-09-03T09:36:12.529343
ETHUSD,ETH/USD,15m,2026-09-03T09:45:00,2397.13,HOLD,25,,,,False,2026-09-03T09:45:22.261673
XBTUSD,BTC/USD,15m,2026-09-03T09:45:00,77735.6,HOLD,0,,,,False,2026-09-03T09:45:22.729698
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T09:45:00,4436.13,HOLD,25,,,,False,2026-09-03T09:45:23.230731
ETHUSD,ETH/USD,15m,2026-09-03T10:15:00,2390.36,SELL,50,2400.839660049518,2362.414239867953,2.6666666666666377,False,2026-09-03T10:15:20.633669
XBTUSD,BTC/USD,15m,2026-09-03T10:15:00,77533.0,SELL,50,77793.7308736074,76837.71767038024,2.6666666666667225,False,2026-09-03T10:15:20.970736
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T10:15:00,4429.05,HOLD,0,,,,False,2026-09-03T10:15:21.313817
ETHUSD,ETH/USD,15m,2026-09-03T10:30:00,2394.13,HOLD,25,,,,False,2026-09-03T10:30:24.143947
XBTUSD,BTC/USD,15m,2026-09-03T10:30:00,77588.8,HOLD,25,,,,False,2026-09-03T10:30:24.445972
